key,11,13
2162711,隱秘瀑布,由永恆川的流水形成的瀑布。富豪格格魯玖在瀑布潭所在的海岸準備了住宿設施，用來接待貴賓。或許還有專屬的舞女進行的特別招待。
2162712,白鷗塔,由拉諾西亞特有的白色火山岩建成的小塔。既能夠作為燈塔，提示靠近的船隻已航行到深度較淺的海域；同時也能夠作為監視塔，監視著魚人族以及海盜的動向。塔的周圍棲息著大量白色海鷗，白鷗塔因此得名。
2162713,小麥酒港的利姆萊茵像,對於長期航海的船隻來說，小麥酒港是補充必要物資的重要海港。在其中心部，豎立著航海女神利姆萊茵的雕像。這座由魯加族著名雕刻家雕刻而成的美麗女神像，至今仍在守護著出行的航船。
2162714,船舶墓場,在海上遇難的船隻隨著洋流漂到了這裡，久而久之便成為了遇難船沉眠的墓場。根據當地人的傳言，很多船都是受到傳說中的魔物「塞壬」的魅惑而遇難的。
2162715,骷髏谷營地,黑渦團的軍事據點。起初為了警告南下的地靈族，曾將地靈族頭骨排列在山谷間，因而命名骷髏谷。如今，骷髏谷營地則是作為防禦二分石地一帶的魚人族的重要據點，發揮著無可替代的作用。
2162716,南北防波堤,黑渦團的防禦壁。建造在被魚人族佔領的二分石地與骷髏谷的邊界間。因為魚人族的攻勢經常被比做「海浪」，所以這座高大的牆壁也就得到了防波堤的名字。現在的防波堤仍然在堅守其職責，抵擋著魚人族一波又一波的猛攻。
2162717,石綠湖營地,受到靈災的影響，石綠湖水位大幅下降，原本潛藏在湖底的古代尼姆遺跡也得以重見天日。人們見有溫水湧出，於是將這裡建設成了面向傷兵的溫泉療養地。同時也建起了面向一般人的溫酒療養院。
2162718,撒拉奧斯的遺骸,露出地表的巨大古代生物化石。與曾經女神利姆萊茵解放的海蛇撒拉奧斯有淵源，所以被稱作撒拉奧斯的遺骸。另外，在這附近發現的海洋生物化石，也揭示了這座島嶼曾經處於海底深處。
2162719,吉吉盧恩交易站,盧恩族的商人吉吉盧恩經營的交易站。與他的兄弟梅梅盧恩經營的交易站是競爭關係。至於為什麼要在人煙稀少的地方開店，那就不得而知了。
2162720,尼姆浮游遺跡,古代尼姆城邦的遺跡。在第五星曆時代，尼姆文明曾在威爾布蘭德島繁榮一時。由於地脈的乙太偏屬性水晶化，導致風屬性的力量強化，使得一部分遺跡漂浮起來。這個景觀可以說是如夢似幻。
2162721,瞭望陣營地,在拉諾西亞外地設立的黑渦團營地。由海盜兵組成的「紅燕陸戰隊」鎮守於此，在高台上時刻監視著地靈族的動向。同時，從這裡向南望去，尼姆時代的「放浪神古神殿」遺跡風光也盡收眼底。
2162722,武伽瑪羅武裝礦山,地靈族開拓的武裝礦山。周邊有豐富的硫磺資源，滲出的地下水和工業廢水相互交融，形成了獨特的光景。憑藉人口劇增帶來的勞動力增加，使得擴張作業穩步進行。
2162723,隱者庵,遙望著北方奧·哥摩羅山的山間小屋。由於火山地帶溫泉豐富，主人在房屋邊上還做出了一個天然的溫泉浴池。不過小屋的主人幾乎很少在家，可能是個喜歡在外面漂泊的人吧。
2162724,魔女咖啡館和大水車,魔女咖啡館的名字據說是得自一種叫做魔女草的植物。在這家咖啡館的旁邊就是全艾歐澤亞最大的木造水車——「斐加加大水車」。這座水車向刻木匠公會的工房輸送動力，迴轉起來會發出很有韻律的聲音。
2162725,槍術師公會,槍術師公會是由著名槍術師米斯塔爾所創設。維持格里達尼亞治安的鬼哭隊現在也駐紮在這裡，在道場裡可以看到鬼哭隊士兵和槍術師公會的成員們一起努力練習的場景。
2162726,烤餅練兵所,雙蛇黨為訓練新兵而設立的練兵所。這裡的訓練場設立在黑衣森林獨有的巨大樹木「天柱樹」的樹樁上。樹樁的切面很像是扁平的圓形烤餅，練兵所也因此得到了這個奇妙的名字。
2162727,靜語莊園,原本是幻術皇的御用宅邸。二代以前的幻術皇認為這裡過於奢華而決定搬出，之後這裡就被交給了名門達爾坦庫爾家。靜語莊園中「靜語」一詞指的是人類和元靈之間那種不用語言的交流方式。
2162728,長老樹,黑衣森林中最為年長的古樹。據格里達尼亞的法師們介紹，森林大元靈就是棲息在這棵大樹之中。由於樹齡已經超過了一千年，所以人們對這棵樹的果實也十分重視，將其命名為「千年果實」。
2162729,虹橋瀑布,流淌在黑衣森林中的東葉脈水流形成的瀑布。在陽光的照射下會映現出美麗的彩虹，於是當地人便親切地給了這個瀑布一個「虹橋」的愛稱。穿過瀑布的洞窟可以到達「再生的殘樁」。
2162730,搖籃樹,妖精的種子需要在被稱作「搖籃」的繭裡進行成長，而能夠孕育出「搖籃」的則只有這棵大樹。沒有這棵樹，妖精族就無法繁衍，這棵樹的重要性由此可見一斑。周圍生長的月芽可以發出淡淡的如同月光一般的光，彷彿是在守護著這棵大樹。
2162731,巴斯卡隆酒家,曾經當過哨兵的巴斯卡隆經營的酒館。因為巴斯卡隆胸懷寬大，不論是冒險者還是駐紮在附近的不法之徒，都能在這裡相安無事地對飲。這家酒館已經成為了某種意義上的避風塘，在這裡沒有紛爭。
2162732,森南飛艇坪,高風飛行社建設的貨運飛艇坪。不過在帝國軍入侵後，由於空中的安全問題無法得到保障，這裡便被關閉了。現在已經成為了當地的偷獵者們交易貨品的黑市所在地。
2162733,兀爾德恩惠地,蘊含著豐富乙太的清澈泉眼。據聖典中記載，聖女兀爾德被惡神奧丁斬殺於此，此處因此被稱為「兀爾德恩惠地」，但這個傳說的真實性無從考證。
2162734,石場水車,南部林區中的輔城，在當初建設森之都格里達尼亞時，這裡曾經是加工石材的水車場。現如今已經不再經營這項行業，變為了森林獵人們所聚集的場所。
2162735,鳥人軍採伐所,侵入黑衣森林的鳥人族採伐部隊砍伐樹木的場所。鳥人族從他們在塞爾法特爾溪谷的根據地派出裝甲氣球，經由庫爾札斯的風揚殖民地前來此地搬運木材。
2162736,隕石背陰地,在第七靈災之時，衛月中封印古代蠻神的拘束具掉落在了這裡。這些巨大的圓環能夠抑制蠻神的力量，將那黑色的蠻神封印了諸多個世紀。可是現在，我們只能看到破損後的遺骸了。
2162737,榿木泉,這裡過去是一片與「榿木泉」這個名字相符的、生長有無數榿木的繁茂森林，但第七靈災讓這裡發生了巨大的變化。衛月的碎片墜落在這裡，巨大的衝擊給大地造成的創傷至今仍未恢復。
2162738,帝國海上基地,建造在羅塔諾海上的帝國海上基地，是加雷馬帝國的物資中轉基地，用於進行海上補給。由帝國第十四軍團的第十步兵大隊駐守。
2162739,黃昏灣的羅羅力特像,黃昏灣是烏爾達哈的海上關口。中央廣場的銅像，是按照阿爾迪納德商會的羅羅力特會長的形象建造的。雖然羅羅力特對港口投入了大量資金進行建設這點很讓人稱道，不過還是有些人認為這座雕像的容貌有些過度美化了。
2162740,黑塵驛站,原本是銅刃團的駐地，因艾瑪吉娜礦山公司建設鐵道的關係，在這裡增設了驛站的功能。為了煉製採掘出來的礦石，這裡設定了最新的高熱爐，為烏爾達哈經濟建設作出了巨大的貢獻。
2162741,納爾之門,烏爾達哈的主門之一。得名自掌管生者世界的納爾神。由於烏爾達哈是一座貿易城邦，所以主門建設得特別寬大，能夠允許兩輛載滿商品的陸行鳥篷車並行通過。
2162742,火牆,衛月墜落時的碎片貫穿了大地，使得地脈中的乙太大量流出。這些乙太結晶化，形成火炎形狀的偏屬性水晶。這可以說是第七靈災帶來的壯烈景觀之一。
2162743,黃金集市,烏爾達哈的輔城。曾經作為貿易中轉地非常熱鬧，後因與東方貿易的中斷，導致這裡變得非常冷清。傳聞周邊一帶有著品質優良的秘銀礦床，人們也很期待通過礦業能夠振興這裡。
2162744,札爾神祠,供奉雙子神中的札爾神的神祠。札爾掌管著死後的世界，向其上供可以保佑來生的財富。為了進行節食祈禱，這裡還設有納爾札爾教團祈禱時用的設施。過去曾有很多前來巡禮參拜的人，可是近些年來人數下降了不少。
2162745,納爾神祠,供奉雙子神中的納爾神的神祠。由於納爾所掌管的是現世的利益，所以人們都認為誠心參拜後會有好事發生在自己身上。可是富裕階層的人僅僅靠購買密爾瓦內斯禮拜堂販賣的護身符即可滿足，所以幾乎沒有人來參拜神祠。
2162746,不悔戰陣,蜥蜴人軍的戰陣。名字中的「不悔」表明了蜥蜴人戰士永不退卻的精神。他們把蠻神伊弗利特焚燒過的南薩納蘭贊拉克地區當做聖地。在歷史上，蜥蜴人族和烏爾達哈也有過很多衝突。
2162747,工藝神擊,艾瑪吉娜礦山公司為了從沙漠之中挖掘出古亞拉戈時代遺跡而設定的大型挖掘機。原本是希望這台機器能夠像工藝神的大錘一樣打出無比強悍的一擊，可惜由於耐熱性不是很好，總是會出現這樣那樣的問題。
2162748,喀恩埋沒聖堂,古代貝拉哈迪亞城邦時代的遺跡。這裡曾是貝拉哈迪亞祭拜太陽女神阿澤瑪的神殿，歷代國王為了展示自己的權力，曾多次改造神殿。
2162749,牛魔里程,為了對抗東阿爾迪納德商會的龐大資本，中小規模的旅行商人們組成了一個名為「商隊互助會」的組織，這裡便是組織交易所之一。此處交易所建立在第七靈災之後，是為了與危險的撒溝厲沙漠方面進行貿易而專門建立的。
2162750,東側監視塔,用於監視帝國南方堡的監視塔。帝國南方堡由加雷馬帝國第十四軍團建造，是確保魔導兵器燃料資源供應的採掘據點。恆輝隊駐守此監視塔，不分日夜地監視著採掘據點的狀況。
2162751,青磷水輸送管,向精煉所輸送青磷水的管道。現在在艾歐澤亞需要利用青磷水的裝置越來越多，從飛空艇到各種機械，燃料的需求量明顯增大。為此艾瑪吉娜礦山公司也花費了巨資來增加設備。
2162752,藍霧,北薩納蘭的溪谷地帶是在艾歐澤亞數一數二的青磷水儲存地。在獲取青磷水的時候產生的氣體，使得周邊被藍霧籠罩，也因此成為了此地的景點。
2162753,勞班緩衝地,趁著第七靈災混亂之際，帝國軍向北薩納蘭發起了進攻，然而恆輝隊的勞班局長卻在戰力處於劣勢的狀況下依舊奮戰到底，終於成功守住了青磷精煉所。戰後，兩陣營之間的中間地帶便被稱作勞班緩衝地。
2162754,艾瑪吉娜秘銀廢礦,在20年前左右被放棄的廢礦。這裡的秘銀礦脈曾經非常豐富，是為艾瑪吉娜礦山公司帶來「秘銀熱」的重要舞台，可惜後來礦脈逐漸枯竭，最終被放棄了。現在，這裡則變成了邪教集團「最後之民」的秘密基地。
2162755,劍峰,矗立於庫爾札斯中央高地的高峰。據正教的聖典記載，戰爭女神哈羅妮揮劍刺入天空，從而將天界與地面徹底隔離。不過由於衛月的碎片刺入了山間，使得這把利劍的劍刃有些變形了。
2162756,阿德內爾占星台,配備有全艾歐澤亞最大天體望遠鏡的占星台。在觀測天體運動的同時也承擔著預測龍族動向的工作。據說占星台的名字來源於伊修加德歷史上最偉大的占星學家。
2162757,龍族遺骸,被白雲崖前哨的對龍弩砲打下的龍族的遺骸。在庫爾札斯的嚴寒氣候中結冰，基本沒有腐爛。遠遠看去還以為是一隻龍在雪中沉睡。
2162758,皇都伊修加德,伊修加德是一座宗教城邦。為了防範龍族的襲擊，城牆不但分為多個等級，上面還布有多重魔法屏障，同時成群的高聳尖塔上都設有對龍弩砲。因為伊修加德正教的教皇居住於此，所以此地也被稱為皇都。
2162759,巨石丘,劍峰山麓的廣闊山丘，過去有很多巨大的岩石點綴於此，因此得名「巨石丘」。靈災之後，原本覆蓋於衛月外殼上的暗物質附著在這片山丘上，形成了一種新的奇妙岩石。
2162760,戰爭神秘石,顯現出戰爭神哈羅妮的神印的神聖之石。對尊崇哈羅妮為主神的伊修加德正教來說，這塊秘石所在的洞穴是重要的聖地。因此，他們在這裡建造了秘石塔，嚴加看守。
2162761,披雪大冰壁,第七靈災引發的屬性變動，使得庫爾札斯地區以異常的速度變成了冰天雪地。僅僅5年的時間，奔流江和雙子池的水便被冰結，形成了擎天的大冰壁。同時通往庫爾札斯西部的陸路也被隔斷了。
2162762,巨龍首營地,守衛皇都伊修加德的據點。名門福爾唐家的騎兵團駐守於此，對龍族和異端者、還有來自東方的入侵者鳥人族保持著警戒。據點的名字來自於附近的一塊酷似龍頭的巨大岩石。
2162763,鋼衛塔,對龍城塞，但現在已被破壞。這座塔原本和西方的石衛塔遙相呼應，共同構成了伊修加德的防衛雙壁。但在黃龍斯瓦拉率領的龍族攻勢下化作了一片廢墟，現在只留下了一部分的外牆。
2162764,帝國中央堡,加雷馬帝國軍的資源採掘據點。當初奈爾率領第七軍團在這裡建立起了帝國軍新堡，靈災之後新堡被第十四軍團改造成了現在的中央堡。在基地內部還鋪有運送礦石的鐵路，以及「魔列車」的停車場。
2162765,水晶塔,在第七靈災中突然出現在地表上的水晶巨塔。根據學術組織聖寇伊納克財團的調查，這座塔本來是古代亞拉戈文明製造的能量收集裝置，曾被稱作「希爾科斯塔」。
2162766,早霜頂,飛空戰艦阿格里俄斯號的墜落導致這片地區出現了大規模的結晶化現象。甚至草木都變成了結晶的形態，在這裡行走會聽到腳下傳來的哢嚓哢嚓聲，彷彿走在寒霜之上。
2162767,密約之塔,加雷馬帝國軍的飛空戰艦阿格里俄斯號墜落於此，艦首向下沒入了湖中，宛如一尊巨塔。古時起就守護著銀淚湖的塵世幻龍的屍體則纏在這艘戰艦上面。
2162768,隼巢,位於庫爾札斯西部高地的由哨兵的營房發展而來的山村。因第七靈災後氣候急劇變冷導致多數居民被凍死，傷亡慘重。曾經為了戒備龍族襲擊，村中有馴鷹人常駐並飼養了許多白隼，村名由此而來。
2162769,交匯河營地,伊修加德的騎兵團曾經駐紮的露營地。曾經是配備了乙太之光的據點，但靈災後被廢棄了。因坐落於庫爾札斯河和奔流江的交匯處，名字中也體現了河流交匯之處的意思。
2162770,臥龍島,坐落在已凍結成冰的灰燼池上的島嶼。傳說為了鎮壓強大的龍族，教皇廳的法術團用魔法將其催眠，不知何時其周身被灰燼覆蓋化作岩石，最終成為了一座島嶼。
2162771,暮衛塔,伊修加德的對龍要塞暮衛塔。尤埃爾默里克指揮官曾率領狄蘭達爾家的騎兵團在此駐紮，但在靈災時城牆的一部分崩塌了。之後因氣候急劇變冷導致暮衛塔被冰封鎖，如今已經成為了魔物的巢穴。
2162772,戈爾加涅牧場,侍奉於狄蘭達爾家的騎士戈爾加涅建造的牧場。據說他作為狄蘭達爾家長男的武術老師為培養愛徒傾注了心血，在愛徒失蹤後萬念俱灰決定引退，之後建造了這座牧場。
2162773,鐵杉村,位於庫爾札斯西部高地的廢村。從前是以周邊林業為生的樵夫們居住的村落，靈災後因氣候急劇變冷而人去樓空。「鐵杉村」的村名源於此地區特有的鐵杉。
2162774,大腳雪人居所,大腳雪人的居所。由於漏斗形的山崖可以抵禦寒風侵襲，大腳雪人便自然而然地聚集到了這裡。不過似乎至今還沒有強大的頭領出現，雖然聚集在一起但並不團結，依舊保持個體的自由行動。
2162775,唯一腦窟穴,優秀的狩獵民族骨頜族居住的村落。其中遍布由分泌液與土的混合物建造而成的像是蟻穴的房屋。據說建築物中焚燒了特殊的香草，從煙囪中飄出的煙有驅趕龍族的效果。
2162776,不潔村落,疑似城市的遺跡。伊修加德教皇廳稱這是異端者勢力建造的不潔村落，毀滅於戰神哈羅妮降下的神罰。至於事實是否如教皇廳所言如今還沒有定論。
2162777,不潔三塔,被伊修加德正教視為魔女們建造的異端之塔。其中配備了可供人類和龍族停泊的設備，建築風格極為罕見。現在已經成為了龍族的居所。
2162778,悲嘆飛泉,曾是坐落於索姆阿爾靈峰山腳的巨大古代建築物。如今已被破壞並被河流吞沒，是魔物和野獸的珍貴水源。龍族為了捕捉魔物和野獸也會在此出沒。
2162779,光輪祭壇,位於流淌著岩漿的徹悟岩窟底端的祭壇。擺放著依照龍族和人類女性雕刻而成的雕像，但人類女性雕像似乎在很久以前就遭到了破壞。從此垂直向上望去，可以看到浮在空中的索姆阿爾靈峰底部。
2162780,尾羽集落,獵人們的村落，他們為了捕捉野生陸行鳥而來到了秘境——陸行鳥之森。七天樹繁茂的樹冠擋住了盤旋在上空的龍族的視線，所以人類可以在此處生活。
2162781,索姆阿爾靈峰,坐落於西阿巴拉提亞山脈的艾歐澤亞最高峰。知曉死期的龍族會來到這裡，是龍族的終焉之地，也被稱為聖地。由巨大的水晶構成，從山腰到山頂都浮在空中，有種極致的美感。
2162782,莫古力之家,坐落於艾歐澤亞最高峰索姆阿爾靈峰峰頂的莫古力族的村落。雖然翻雲霧海算是龍族的領地，但當地的莫古力族與聖龍赫拉斯瓦爾格立下了盟約，所以可以在此地生活。
2162783,龍巢神殿,邪龍尼德霍格居住的龍巢。在邪龍的魔力的作用下，周邊被雷雲覆蓋無法輕易接近。尼德霍格在結束了數十年至一百年為週期的活動進入休眠期時，似乎會在此處沉睡。
2162784,惋惜之晶遺跡,名字中帶有一股哀傷之意的遺跡。被破壞的建築物有一半被水晶埋沒。從結晶量可以推測出，很可能曾有擁有七大天龍級別魔力的生命在此消逝……
2162785,天極白堊宮,坐落於聖龍赫拉斯瓦爾格領地的壯麗的宮殿。和聖龍立下盟約的雲海莫古力族會對此地進行維護，但還是敵不過千年的時光，建築漸漸風化。即便如此，這座建築依舊擁有著震撼人心的美麗。
2162786,人王像,坐落在綠茵島相鄰浮島上的巨大的人物雕像。莫古力族似乎將此像的原型當做地上人類之王，將其稱為人王像。不過如今記錄早已丟失，不知此像究竟象徵何人。
2162787,書信之家,疑似很久很久以前人類與龍族合作建造的建築物，如今大半已化為瓦礫。因為建築物中到處刻有文字，所以當地的莫古力族將其稱為書信之家。據說千年前的遺物如今仍然遺落在那裡。
2162788,飛龍港,莫古力族傳說中的空中港口，有許多人為了騎乘雙足飛龍而來。建築物十分堅固，如今依然殘留了一部分，但居住在那裡的龍族幾乎全是會襲擊人類的邪龍眷屬。
2162789,雲頂營地,艾因哈特家的薔薇騎兵團駐紮的據點。為了從高空監視龍族而建立在浮島上的營地。配備了新造飛空艇捍衛者號，但因為故障不斷而毫無戰鬥力。
2162790,候鳥雲巢,"有一些候鳥會隨著季節變化往來於近東地域與艾歐澤亞,為了躲避嚴寒,那些怪鳥在這裡搭建了巢穴,它們在此產卵、養育後代。在雛鳥們學會飛行後便會離開巢穴向東飛去。"
2162791,沃仙曦染,在水屬性水晶的作用下由大氣中的水分聚集而成的泉水。騎兵們發現這美麗的泉水後，覺得就如同吟遊詩人傳頌的傳說中的美景聖地「沃仙曦染」一般美麗，便以此為名稱呼下去。
2162792,魔窟離島,魔窟離島的名字在瓦努語中有著高處的聲音的意思。島上留有一座刻有莫古力族喜歡的圖案的石碑，但島上並沒有莫古力族的蹤影。不知這裡究竟擁有著怎樣的歷史。
2162793,落羽大房,瓦努族的聖地之一，據講述傳說的人所說，這裡曾飄落下雲神俾斯麥的羽毛。如今溫杜族長老的宅邸建立在此地作為其權利的象徵。
2162794,瓦納溫杜集落,瓦努族主要氏族溫杜族的根據地。「瓦納」在瓦努語中有「高處」的意思。當地居民認為越高的地方越容易將自己的聲音傳達給雲神，所以高海拔的地方對他們來說有著重要的意義。
2162795,亨格坩堝,位於阿巴拉提亞雲海東部有著奇怪形狀的浮島。在發現了這座浮島的伊修加德騎士眼中，這座浮島形狀和庫爾札斯地區的童謠中的魔女亨格所用的坩堝很像，便將其命名為亨格坩堝。現在是巨嘴鳥的棲息地。
2162796,宗匠大工房,曾是聚集了薩雷安工匠的大工房。此地曾經生產過乙太之光。但是如今被企圖獨佔知識的哥布林族科學家組織青藍之手佔領，似乎他們正在將此地改造成要塞。
2162797,薩雷安治學區,薩雷安轄區中沙利亞克河西岸的地區。曾經有許多研究員和學者聚集在此地區。聖茉夏娜植物園等研究以及教育機關也集中在此。曾經充滿了學術城邦的氣息。
2162798,先賢偉業紀念碑,為了紀念那些逝去的將知識傳承下去的先人們，為了銘記他們的偉業而建造的大石碑。上面銘刻了知識之都薩雷安的格言「知識不求人」以及歷代大賢人的名字。
2162799,知識神水瓶,沙利亞克河的大瀑布。阿巴拉提亞山脈的積雪溶化後成為了地下水，與山下無數的支流匯合流入低地形成一條大河。其名字由知識神沙利亞克擁有的可以生成知識之水的魔法水瓶而來。
2162800,迦巴勒幻想圖書館,殖民城市薩雷安為保管各地集聚的知識而建造的大圖書館。在大撤退時重要的資料都被帶回了北洋的祖國，不過現在地下的禁書庫中依舊保管著少量書籍。
2162801,奧恩原生林,延伸在龍堡內陸低地北部的原生林。水量豐富的沙利亞克河滋潤著當地的土地，保留了原汁原味的自然生態。如果想不經由龍堡參天高地前往薩雷安，就需要沿河而上穿過這片原生林。
2162802,聖茉夏娜植物園,薩雷安人建立的植物園的遺址。內部的溫室中栽培著從世界各地採集而來的植物和草木綱的魔物，人們在此進行各種各樣的學術研究。不過植物園在大撤退時被廢棄，現在沒有任何人在管理。
2162803,飛空戰艦格拉提翁號,加雷馬帝國第六軍團的旗艦。是與飛空戰艦阿格里俄斯號同型號的戰艦。受到冰神希瓦的拚死攻擊後，艦載青磷爐被帶有魔力的冰包裹住而陷入了無法航行的狀態。
2162804,無限迴廊,古代亞拉戈帝國的博物戰艦。為將這千年大帝國的遺產永遠地保存下來而建造了這艘戰艦。據說其內部保留著從日用品到最新軍用兵器等各種物品，甚至還有極其危險的魔科學產物。
2162805,對偶處刑台,被囚禁的七大天龍之中的暗龍提亞馬特。過去曾與光龍巴哈姆特一起在南方大陸生活，但在和亞拉戈帝國軍的戰鬥中敗北。至今依然在後悔將因反抗而死的光龍作為蠻神召喚出來。
2162806,魔科學研究所,古代亞拉戈帝國的研究設施。曾在這裡進行過封鎖龍族行動的拘束裝置的開發以及對蠻神封印系統的研究。也曾進行過對蠻神兵器的研究，研究所內部潛伏著許多被廢棄的實驗體。
2162807,螺旋港,阿濟茲拉配備的巨大港灣設施。由導航系統的解說得知，似乎是可以容納諸神黃昏級拘束艦等級的巨大艦艇的港灣設施。據說過去在設施中存在著更多的對接環。
2162808,隔離實驗島,位於魔大陸阿濟茲拉一角的浮島。整座浮島就是一個隔離未能達到魔科學部安全基準的危險合成生物的設施。根據記錄可知，這裡似乎曾經是進行作物品種改良的農業研究所。
2162809,重組實驗室,亞拉戈帝國魔科學部旗下的研究設施，進行了各種合成生物的開發。根據導航系統的解說可以得知，這裡以進行非常安全且獨特的實驗而備受好評，但卻讓人禁不住對此番言論深表懷疑。
